                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                  1.053,                0.70973,                 1.2325,                0.94383,                0.93593,                0.96744,                  0.727,                 0.9027,                0.49302,                 1.0726,              0.0061229,              0.0061229,              0.0061229
                     67,                  1.027,                0.68685,                 1.2195,                0.93988,                0.92407,                 0.9678,                0.71493,                0.93847,                0.50321,                  1.105,              0.0060779,              0.0060779,              0.0060779
                     68,                 1.0272,                0.68531,                 1.2223,                0.94183,                0.93163,                0.96895,                0.72719,                0.89058,                0.47658,                 1.0641,               0.006033,               0.006033,               0.006033
                     69,                 1.0321,                0.69647,                 1.2236,                0.94503,                0.92297,                0.96635,                0.71298,                0.92156,                0.50309,                 1.0854,               0.005988,               0.005988,               0.005988
                     70,                 1.0237,                0.67812,                 1.2196,                 0.9444,                0.93178,                0.97019,                0.69901,                 0.9607,                0.49016,                 1.1088,              0.0059431,              0.0059431,              0.0059431
                     71,                 1.0164,                0.67145,                 1.2172,                0.94204,                0.90494,                0.96158,                0.70807,                0.90876,                0.52306,                 1.0726,              0.0058981,              0.0058981,              0.0058981
                     72,                 1.0263,                0.68461,                 1.2194,                0.93883,                 0.9386,                0.97164,                0.73923,                0.85834,                0.46419,                 1.0616,              0.0058531,              0.0058531,              0.0058531
                     73,                 1.0169,                0.67682,                 1.2108,                0.93446,                0.93452,                0.96837,                0.73492,                0.86561,                0.48133,                 1.0543,              0.0058082,              0.0058082,              0.0058082
                     74,                 1.0045,                0.67447,                 1.2048,                 0.9312,                0.93401,                0.96875,                0.72951,                0.88477,                0.48055,                 1.0697,              0.0057632,              0.0057632,              0.0057632
                     75,                 1.0138,                0.66924,                 1.2144,                 0.9434,                0.92733,                0.96683,                0.73398,                0.85366,                0.47732,                 1.0654,              0.0057183,              0.0057183,              0.0057183
                     76,                 1.0204,                0.67868,                 1.2199,                0.94101,                  0.926,                0.96543,                0.71622,                0.92721,                0.49814,                 1.0868,              0.0056733,              0.0056733,              0.0056733
                     77,                 1.0066,                0.67245,                 1.2094,                0.93915,                 0.9384,                0.97135,                0.73723,                0.84965,                0.47141,                 1.0508,              0.0056284,              0.0056284,              0.0056284
                     78,                 1.0035,                0.66081,                 1.2073,                 0.9479,                0.94023,                0.97118,                0.71681,                0.92468,                0.47115,                 1.0854,              0.0055834,              0.0055834,              0.0055834
                     79,                 0.9953,                 0.6509,                  1.206,                0.93788,                0.93119,                0.96882,                0.72956,                0.87531,                0.48414,                  1.067,              0.0055385,              0.0055385,              0.0055385
                     80,                 1.0135,                 0.6624,                 1.2123,                0.93769,                0.93962,                0.97384,                0.74561,                0.85125,                0.46927,                 1.0512,              0.0054935,              0.0054935,              0.0054935
                     81,                 1.0028,                0.66207,                  1.202,                0.94216,                0.93208,                0.97008,                0.73967,                0.85394,                0.46566,                 1.0539,              0.0054486,              0.0054486,              0.0054486
                     82,                 1.0029,                0.65745,                 1.2055,                0.94817,                0.92407,                0.97072,                0.71257,                 0.9362,                0.48735,                   1.09,              0.0054036,              0.0054036,              0.0054036
                     83,                 1.0074,                0.66344,                 1.2073,                0.95554,                 0.9403,                0.97273,                0.73944,                0.87219,                0.44872,                 1.0558,              0.0053586,              0.0053586,              0.0053586
                     84,                0.99528,                0.65599,                 1.2061,                 0.9517,                0.94602,                0.97687,                0.73514,                 0.8784,                0.45238,                 1.0603,              0.0053137,              0.0053137,              0.0053137
                     85,                 1.0018,                0.65765,                 1.2032,                0.94117,                 0.9395,                0.97168,                0.72094,                0.91923,                0.47086,                 1.0825,              0.0052687,              0.0052687,              0.0052687
                     86,                0.99454,                 0.6497,                 1.2012,                0.94151,                0.94187,                0.96838,                0.73525,                0.86145,                0.46196,                 1.0453,              0.0052238,              0.0052238,              0.0052238
                     87,                0.99646,                0.65812,                  1.199,                0.94887,                0.93312,                0.96742,                0.74311,                0.84118,                0.46377,                 1.0416,              0.0051788,              0.0051788,              0.0051788
                     88,                0.99787,                0.65261,                 1.2017,                0.94071,                0.94201,                0.97163,                0.75505,                0.81986,                0.45199,                 1.0313,              0.0051339,              0.0051339,              0.0051339
                     89,                0.99435,                0.64457,                 1.1992,                0.94668,                0.93668,                 0.9708,                0.74554,                0.84234,                0.45565,                 1.0481,              0.0050889,              0.0050889,              0.0050889
                     90,                0.98174,                0.63877,                 1.1924,                0.95011,                0.93742,                 0.9736,                0.74045,                0.85121,                0.45121,                 1.0493,               0.005044,               0.005044,               0.005044
                     91,                0.99742,                0.64851,                 1.1939,                0.95345,                0.94483,                0.97257,                0.74048,                0.86971,                0.44686,                 1.0468,               0.004999,               0.004999,               0.004999
                     92,                0.98364,                0.63804,                 1.1893,                0.95155,                0.92631,                0.97013,                0.73665,                0.85408,                 0.4501,                  1.051,               0.004954,               0.004954,               0.004954
                     93,                0.99171,                0.64583,                 1.1977,                0.94669,                0.94289,                0.97196,                0.73423,                0.89037,                0.44773,                 1.0581,              0.0049091,              0.0049091,              0.0049091
                     94,                0.98567,                0.64376,                 1.1962,                0.93503,                0.92437,                0.96132,                0.71289,                0.91418,                0.49116,                 1.0973,              0.0048641,              0.0048641,              0.0048641
                     95,                0.96696,                0.62571,                 1.1846,                0.95299,                0.95309,                 0.9752,                0.74996,                0.85461,                0.42721,                 1.0422,              0.0048192,              0.0048192,              0.0048192
                     96,                0.96547,                0.62501,                 1.1826,                0.95055,                0.94691,                 0.9764,                0.75503,                 0.8389,                0.42761,                 1.0406,              0.0047742,              0.0047742,              0.0047742
