                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                0.57543,                  0.414,                 0.8442,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00021761,             0.00021761,             0.00021761
                     58,                0.58191,                0.41614,                0.84433,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00021611,             0.00021611,             0.00021611
                     59,                0.57434,                0.40959,                0.84295,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00021461,             0.00021461,             0.00021461
                     60,                0.57919,                0.40914,                0.84424,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00021311,             0.00021311,             0.00021311
                     61,                0.57412,                0.40689,                0.83979,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00021162,             0.00021162,             0.00021162
                     62,                0.57468,                0.41167,                0.84396,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00021012,             0.00021012,             0.00021012
                     63,                0.57584,                0.41146,                0.84139,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00020862,             0.00020862,             0.00020862
                     64,                0.56701,                0.40358,                0.84096,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00020712,             0.00020712,             0.00020712
                     65,                 0.5733,                0.40511,                0.84242,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00020562,             0.00020562,             0.00020562
                     66,                0.56586,                0.40216,                 0.8407,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00020412,             0.00020412,             0.00020412
                     67,                0.56394,                0.39948,                0.84177,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00020263,             0.00020263,             0.00020263
                     68,                0.56141,                0.39862,                0.83866,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00020113,             0.00020113,             0.00020113
                     69,                0.56296,                0.40108,                0.84133,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00019963,             0.00019963,             0.00019963
                     70,                0.56155,                0.39649,                0.83985,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00019813,             0.00019813,             0.00019813
                     71,                0.55699,                0.39667,                0.83913,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00019663,             0.00019663,             0.00019663
                     72,                0.55648,                0.39546,                0.83894,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00019514,             0.00019514,             0.00019514
                     73,                0.55629,                 0.3973,                0.83915,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00019364,             0.00019364,             0.00019364
                     74,                0.55479,                0.39134,                0.83822,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00019214,             0.00019214,             0.00019214
                     75,                0.55674,                0.39899,                0.83885,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00019064,             0.00019064,             0.00019064
                     76,                0.55246,                 0.3923,                0.83875,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00018914,             0.00018914,             0.00018914
                     77,                0.55412,                0.38833,                0.83865,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00018765,             0.00018765,             0.00018765
                     78,                 0.5492,                0.38923,                0.83781,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00018615,             0.00018615,             0.00018615
                     79,                0.54754,                0.39161,                0.83845,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00018465,             0.00018465,             0.00018465
                     80,                0.54872,                0.38889,                0.83587,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00018315,             0.00018315,             0.00018315
                     81,                0.55589,                0.39086,                0.83911,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00018165,             0.00018165,             0.00018165
                     82,                0.54212,                0.38257,                0.83412,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00018016,             0.00018016,             0.00018016
                     83,                0.54126,                0.38342,                0.83532,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00017866,             0.00017866,             0.00017866
                     84,                0.54586,                0.38591,                0.83656,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00017716,             0.00017716,             0.00017716
                     85,                0.54315,                0.38534,                0.83583,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00017566,             0.00017566,             0.00017566
                     86,                0.54843,                0.38477,                0.83603,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00017416,             0.00017416,             0.00017416
                     87,                0.54185,                0.38145,                0.83449,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00017267,             0.00017267,             0.00017267
                     88,                0.53754,                0.38163,                 0.8346,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00017117,             0.00017117,             0.00017117
                     89,                0.53763,                0.38212,                0.83639,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00016967,             0.00016967,             0.00016967
                     90,                0.53804,                0.38109,                0.83539,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00016817,             0.00016817,             0.00016817
                     91,                 0.5421,                0.38278,                 0.8366,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00016667,             0.00016667,             0.00016667
                     92,                0.53605,                 0.3776,                 0.8342,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00016518,             0.00016518,             0.00016518
                     93,                0.54074,                0.38117,                0.83515,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00016368,             0.00016368,             0.00016368
                     94,                 0.5319,                0.37831,                0.83421,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00016218,             0.00016218,             0.00016218
                     95,                0.53889,                0.38176,                0.83776,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00016068,             0.00016068,             0.00016068
                     96,                0.53293,                0.37402,                0.83524,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00015918,             0.00015918,             0.00015918
                     97,                0.53229,                0.37706,                0.83387,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00015769,             0.00015769,             0.00015769
                     98,                0.53115,                0.37481,                  0.834,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00015619,             0.00015619,             0.00015619
                     99,                0.52767,                0.37298,                0.83596,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00015469,             0.00015469,             0.00015469
                    100,                0.52831,                0.37538,                0.83294,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00015319,             0.00015319,             0.00015319
                    101,                0.53146,                0.37654,                0.83611,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00015169,             0.00015169,             0.00015169
                    102,                0.52499,                0.36917,                0.83073,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00015019,             0.00015019,             0.00015019
                    103,                0.52395,                0.37166,                0.83356,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0001487,              0.0001487,              0.0001487
                    104,                0.52406,                0.36947,                0.83144,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0001472,              0.0001472,              0.0001472
                    105,                0.52551,                0.37081,                0.83164,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0001457,              0.0001457,              0.0001457
                    106,                0.51946,                0.36599,                0.83356,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0001442,              0.0001442,              0.0001442
                    107,                0.52256,                0.36746,                0.83485,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0001427,              0.0001427,              0.0001427
                    108,                0.52705,                0.37047,                0.83394,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00014121,             0.00014121,             0.00014121
                    109,                0.51901,                0.36651,                0.83094,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00013971,             0.00013971,             0.00013971
                    110,                0.51911,                0.36993,                0.83181,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00013821,             0.00013821,             0.00013821
                    111,                0.51753,                0.36566,                0.83099,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00013671,             0.00013671,             0.00013671
                    112,                 0.5179,                0.36495,                0.83093,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00013521,             0.00013521,             0.00013521
                    113,                0.51125,                0.36384,                0.83031,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00013372,             0.00013372,             0.00013372
                    114,                0.51368,                0.36152,                0.83028,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00013222,             0.00013222,             0.00013222
                    115,                 0.5206,                0.36243,                 0.8307,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00013072,             0.00013072,             0.00013072
                    116,                0.50878,                0.35876,                0.83151,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00012922,             0.00012922,             0.00012922
                    117,                0.51573,                0.36275,                0.83074,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00012772,             0.00012772,             0.00012772
                    118,                0.51334,                0.35981,                0.83128,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00012623,             0.00012623,             0.00012623
                    119,                0.50984,                0.35919,                0.83092,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00012473,             0.00012473,             0.00012473
                    120,                0.51067,                0.36111,                0.83291,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00012323,             0.00012323,             0.00012323
                    121,                0.50686,                0.35633,                0.82983,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00012173,             0.00012173,             0.00012173
                    122,                0.50509,                0.35779,                0.82778,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00012023,             0.00012023,             0.00012023
                    123,                0.51207,                0.36079,                0.83022,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00011874,             0.00011874,             0.00011874
                    124,                0.50902,                0.35676,                 0.8312,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00011724,             0.00011724,             0.00011724
                    125,                0.50984,                 0.3585,                0.82747,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00011574,             0.00011574,             0.00011574
                    126,                0.50592,                0.35682,                0.82988,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00011424,             0.00011424,             0.00011424
                    127,                0.49986,                0.35323,                0.82899,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00011274,             0.00011274,             0.00011274
                    128,                0.50747,                0.35591,                0.82956,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00011125,             0.00011125,             0.00011125
                    129,                0.50711,                0.35412,                0.82838,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00010975,             0.00010975,             0.00010975
                    130,                0.50674,                0.35526,                0.82973,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00010825,             0.00010825,             0.00010825
                    131,                0.50454,                0.35323,                0.82885,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00010675,             0.00010675,             0.00010675
                    132,                0.50463,                0.35194,                0.82598,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00010525,             0.00010525,             0.00010525
                    133,                0.49658,                0.34878,                0.82582,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00010376,             0.00010376,             0.00010376
                    134,                 0.5036,                0.35312,                0.82794,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00010226,             0.00010226,             0.00010226
                    135,                0.49765,                0.35105,                0.82781,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00010076,             0.00010076,             0.00010076
                    136,                0.50576,                0.35339,                0.83094,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             9.9261e-05,             9.9261e-05,             9.9261e-05
                    137,                0.49777,                0.34888,                0.82662,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             9.7763e-05,             9.7763e-05,             9.7763e-05
                    138,                0.49281,                0.35042,                0.82689,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             9.6265e-05,             9.6265e-05,             9.6265e-05
                    139,                0.49767,                0.34924,                0.82813,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             9.4767e-05,             9.4767e-05,             9.4767e-05
                    140,                0.49579,                0.35059,                0.82803,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             9.3269e-05,             9.3269e-05,             9.3269e-05
                    141,                0.49429,                0.34429,                 0.8281,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             9.1771e-05,             9.1771e-05,             9.1771e-05
                    142,                0.49097,                0.34429,                0.82611,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             9.0273e-05,             9.0273e-05,             9.0273e-05
                    143,                 0.4945,                0.34811,                0.82751,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             8.8775e-05,             8.8775e-05,             8.8775e-05
                    144,                0.49261,                0.34404,                0.82727,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             8.7277e-05,             8.7277e-05,             8.7277e-05
                    145,                0.49405,                0.34798,                0.82653,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             8.5779e-05,             8.5779e-05,             8.5779e-05
                    146,                0.49183,                0.34657,                0.82623,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             8.4281e-05,             8.4281e-05,             8.4281e-05
                    147,                0.48977,                0.34289,                0.82681,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             8.2783e-05,             8.2783e-05,             8.2783e-05
                    148,                0.49074,                0.34588,                0.82531,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             8.1285e-05,             8.1285e-05,             8.1285e-05
                    149,                0.48663,                0.34024,                0.82574,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             7.9787e-05,             7.9787e-05,             7.9787e-05
                    150,                0.48689,                 0.3414,                0.82672,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             7.8289e-05,             7.8289e-05,             7.8289e-05
                    151,                0.48539,                 0.3413,                0.82742,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             7.6791e-05,             7.6791e-05,             7.6791e-05
                    152,                0.48648,                0.34302,                0.82512,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             7.5292e-05,             7.5292e-05,             7.5292e-05
                    153,                0.49131,                 0.3422,                0.82691,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             7.3794e-05,             7.3794e-05,             7.3794e-05
                    154,                0.48735,                0.34147,                0.82459,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             7.2296e-05,             7.2296e-05,             7.2296e-05
                    155,                0.48335,                0.33816,                0.82381,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             7.0798e-05,             7.0798e-05,             7.0798e-05
                    156,                0.48552,                0.33977,                0.82625,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               6.93e-05,               6.93e-05,               6.93e-05
                    157,                0.48026,                0.34031,                0.82439,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             6.7802e-05,             6.7802e-05,             6.7802e-05
